id,title,price,link,image_link
A8e,Anti Perspirant Alcohol Free Deodorant For Men,39.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/285/s/anti-perspirant-alcohol-free-deodorant-for-men/,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/613077cfb21f0_A8e.jpg
A99e,Homme After Shave Balm For Men,169.99 USD,https://www.premierdeadsea-usa.com/en/homme-after-shave-balm,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/614b280180298_A99e.jpg
R21,Creamy Highlighter,39.99 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/290/s/creamy-highlighter/,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/614710836c7cb_R2101.jpg
R2101,Creamy Highlighter Glistening Pearl,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/290/s/creamy-highlighter/#236=344,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6147113aafe0a_R2101.jpg
R2102,Creamy Highlighter Shimmering Tangerine,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/290/s/creamy-highlighter/#236=345,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/614712162f231_R2102.jpg
R2103,Creamy Highlighter Gold Infused,59.90 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/290/s/creamy-highlighter/#236=346,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/614712cfe89b9_R2103.jpg
C21,Classic Biox Total Age Defying Cream,249.99 USD,https://www.premierdeadsea-usa.com/en/intensive-age-treatment-cream,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61b600d2c4964_Classic_Biox_Total_Age_Defying_Cream_Christmas.jpg
C22,Classic Biox Total Age Defying Serum,249.99 USD,https://www.premierdeadsea-usa.com/en/intensive-age-treatment-serum,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61b60194bf766_Classic_Biox_Total_Age_Defying_Serum_Christmas.jpg
C23,Classic Biox Total Age Defying Eye Cream Gel,239.99 USD,https://www.premierdeadsea-usa.com/en/intensive-age-treatment-eye-cream-gel,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/0/602bc9afe6935_C23e.jpg
C20,Classic Biox Total Thermal Mask,249.99 USD,https://www.premierdeadsea-usa.com/en/thermal-beauty-experience-mask,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/61656de2c1665_C20e.jpg
K61,Premier Satin Gold Reviving Neck & Décolleté Collagen Mask Treatment,999.00 USD,https://www.premierdeadsea-usa.com/en/premier-satin-gold-reviving-neck-dcollet-collagen-mask-treatment,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/614b23224a5b6_K61.jpg
R1201,Natural Finish Powder Bronzer - Golden,67.50 USD,https://www.premierdeadsea-usa.com/en/catalog/product/view/id/749/s/natural-finish-powder-bronzer/#227=320,https://www.premierdeadsea-usa.com/pub/media/catalog/product/6/1/6146e07c200e6_R1201.jpg
